question_id,subgraph_type,template_id,template_structure
20258,simple question left,2,<?S P O ; ?S InstanceOf Type>
7141,statement_property,statement_property_2,(E pred F) prop ?value
12761,right-subgraph,1,E REF ?F . ?F RFG G
4236,statement_property,statement_property_2,(E pred F) prop ?value
8669,statement_property,statement_property_2,(E pred F) prop ?value
27315,center,1.2,?D RDE E
2623,rank,Rank1,"?E is_a Type, ?E pred Obj  value. MAX/MIN (value)"
8287,statement_property,statement_property_1,(E pred ?Obj ) prop value
23954,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
7792,statement_property,statement_property_1,(E pred ?Obj ) prop value
23071,simple question left,2,<?S P O ; ?S InstanceOf Type>
6898,statement_property,statement_property_2,(E pred F) prop ?value
6119,statement_property,statement_property_1,(E pred ?Obj ) prop value
8506,statement_property,statement_property_1,(E pred ?Obj ) prop value
23901,string matching simple contains word,1,<?S P O ; ?S instanceOf Type ; contains word >
25097,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
22137,simple question left,2,<?S P O ; ?S InstanceOf Type>
29804,simple question left,2,<?S P O ; ?S InstanceOf Type>
29519,center,1.1,E REF ?F
13544,right-subgraph,1,E REF ?F . ?F RFG G
5078,statement_property,statement_property_1,(E pred ?Obj ) prop value
26554,center,1.1,E REF ?F
11846,right-subgraph,1,E REF ?F . ?F RFG G
27852,center,1.1,E REF ?F
26109,center,1.1,E REF ?F
9547,two intentions right subgraph,1,select where (ent-pred-obj1 . ent-pred-obj2)
11247,,3,
20728,simple question left,2,<?S P O ; ?S InstanceOf Type>
28883,center,1.1,E REF ?F
22603,simple question right,1,<S P ?O ; ?O instanceOf Type>
12499,right-subgraph,1,E REF ?F . ?F RFG G
23070,simple question left,2,<?S P O ; ?S InstanceOf Type>
15324,right-subgraph,2,E REF xF . xF RFG ?G
17092,right-subgraph,2,E REF xF . xF RFG ?G
25044,string matching type + relation contains word,3,<?S P O ; ?S instanceOf Type ; contains word >
18379,boolean with filter,3,ASK ?sbj ?pred ?obj filter ?obj = num
